LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,STINT,TOT,PC_PA,M,2012-09,3.49
AUS,STINT,TOT,PC_PA,M,2012-10,3.16
AUS,STINT,TOT,PC_PA,M,2012-11,3.24
AUS,STINT,TOT,PC_PA,M,2012-12,3.11
AUS,STINT,TOT,PC_PA,M,2013-01,3
AUS,STINT,TOT,PC_PA,M,2013-02,2.95
AUS,STINT,TOT,PC_PA,M,2013-03,3.05
AUS,STINT,TOT,PC_PA,M,2013-04,3.02
AUS,STINT,TOT,PC_PA,M,2013-05,2.82
AUS,STINT,TOT,PC_PA,M,2013-06,2.8
AUS,STINT,TOT,PC_PA,M,2013-07,2.76
AUS,STINT,TOT,PC_PA,M,2013-08,2.6
AUS,STINT,TOT,PC_PA,M,2013-09,2.58
AUS,STINT,TOT,PC_PA,M,2013-10,2.58
AUS,STINT,TOT,PC_PA,M,2013-11,2.59
AUS,STINT,TOT,PC_PA,M,2013-12,2.61
AUS,STINT,TOT,PC_PA,M,2014-01,2.62
AUS,STINT,TOT,PC_PA,M,2014-02,2.63
AUS,STINT,TOT,PC_PA,M,2014-03,2.66
AUS,STINT,TOT,PC_PA,M,2014-04,2.68
AUS,STINT,TOT,PC_PA,M,2014-05,2.69
AUS,STINT,TOT,PC_PA,M,2014-06,2.7
AUS,STINT,TOT,PC_PA,M,2014-07,2.65
AUS,STINT,TOT,PC_PA,M,2014-08,2.63
AUS,STINT,TOT,PC_PA,M,2014-09,2.66
AUS,STINT,TOT,PC_PA,M,2014-10,2.72
AUS,STINT,TOT,PC_PA,M,2014-11,2.75
AUS,STINT,TOT,PC_PA,M,2014-12,2.75
AUS,STINT,TOT,PC_PA,M,2015-01,2.7
AUS,STINT,TOT,PC_PA,M,2015-02,2.36
AUS,STINT,TOT,PC_PA,M,2015-03,2.3
AUS,STINT,TOT,PC_PA,M,2015-04,2.25
AUS,STINT,TOT,PC_PA,M,2015-05,2.15
AUS,STINT,TOT,PC_PA,M,2015-06,2.15
AUS,STINT,TOT,PC_PA,M,2015-07,2.14
AUS,STINT,TOT,PC_PA,M,2015-08,2.14
AUS,STINT,TOT,PC_PA,M,2015-09,2.17
AUS,STINT,TOT,PC_PA,M,2015-10,2.15
AUS,STINT,TOT,PC_PA,M,2015-11,2.22
AUS,STINT,TOT,PC_PA,M,2015-12,2.34
AUS,STINT,TOT,PC_PA,M,2016-01,2.3
AUS,STINT,TOT,PC_PA,M,2016-02,2.28
AUS,STINT,TOT,PC_PA,M,2016-03,2.31
AUS,STINT,TOT,PC_PA,M,2016-04,2.26
AUS,STINT,TOT,PC_PA,M,2016-05,2.01
AUS,STINT,TOT,PC_PA,M,2016-06,1.99
AUS,STINT,TOT,PC_PA,M,2016-07,1.93
AUS,STINT,TOT,PC_PA,M,2016-08,1.76
AUS,STINT,TOT,PC_PA,M,2016-09,1.73
AUS,STINT,TOT,PC_PA,M,2016-10,1.75
AUS,STINT,TOT,PC_PA,M,2016-11,1.76
AUS,STINT,TOT,PC_PA,M,2016-12,1.78
AUS,STINT,TOT,PC_PA,M,2017-01,1.78
AUS,STINT,TOT,PC_PA,M,2017-02,1.78
AUS,STINT,TOT,PC_PA,M,2017-03,1.79
AUS,STINT,TOT,PC_PA,M,2017-04,1.77
AUS,STINT,TOT,PC_PA,M,2017-05,1.73
AUS,STINT,TOT,PC_PA,M,2017-06,1.72
AUS,STINT,TOT,PC_PA,M,2017-07,1.7
AUS,STINT,TOT,PC_PA,M,2017-08,1.7
AUS,STINT,TOT,PC_PA,M,2017-09,1.72
