DATE,DEXNOUS
10/1/2012,5.7275
10/2/2012,5.683
10/3/2012,5.7558
10/4/2012,5.7029
10/5/2012,5.6632
10/8/2012,.
10/9/2012,5.7355
10/10/2012,5.7333
10/11/2012,5.708
10/12/2012,5.713
10/15/2012,5.709
10/16/2012,5.667
10/17/2012,5.6271
10/18/2012,5.6164
10/19/2012,5.6581
10/22/2012,5.6701
10/23/2012,5.729
10/24/2012,5.7584
10/25/2012,5.7672
10/26/2012,5.7616
10/29/2012,5.7574
10/30/2012,5.7206
10/31/2012,5.7075
11/1/2012,5.6816
11/2/2012,5.7207
11/5/2012,5.7308
11/6/2012,5.7171
11/7/2012,5.7375
11/8/2012,5.7364
11/9/2012,5.7405
11/12/2012,.
11/13/2012,5.7637
11/14/2012,5.7521
11/15/2012,5.7542
11/16/2012,5.7948
11/19/2012,5.7371
11/20/2012,5.7325
11/21/2012,5.7197
11/22/2012,.
11/23/2012,5.6622
11/26/2012,5.6487
11/27/2012,5.6886
11/28/2012,5.6831
11/29/2012,5.6925
11/30/2012,5.6667
12/3/2012,5.6368
12/4/2012,5.6232
12/5/2012,5.6198
12/6/2012,5.6468
12/7/2012,5.6675
12/10/2012,5.6728
12/11/2012,5.6524
12/12/2012,5.629
12/13/2012,5.617
12/14/2012,5.623
12/17/2012,5.604
12/18/2012,5.5936
12/19/2012,5.5602
12/20/2012,5.5607
12/21/2012,5.5709
12/24/2012,5.61
12/25/2012,.
12/26/2012,5.5884
12/27/2012,5.5805
12/28/2012,5.5885
12/31/2012,5.5618
1/1/2013,.
1/2/2013,5.5422
1/3/2013,5.5617
1/4/2013,5.6114
1/7/2013,5.5927
1/8/2013,5.6044
1/9/2013,5.5879
1/10/2013,5.5369
1/11/2013,5.526
1/14/2013,5.5055
1/15/2013,5.5647
1/16/2013,5.5661
1/17/2013,5.5554
1/18/2013,5.6085
1/21/2013,.
1/22/2013,5.5758
1/23/2013,5.5657
1/24/2013,5.5339
1/25/2013,5.5286
1/28/2013,5.5303
1/29/2013,5.4999
1/30/2013,5.4838
1/31/2013,5.468
2/1/2013,5.4312
2/4/2013,5.472
2/5/2013,5.4884
2/6/2013,5.4943
2/7/2013,5.5244
2/8/2013,5.5404
2/11/2013,5.5026
2/12/2013,5.487
2/13/2013,5.4747
2/14/2013,5.512
2/15/2013,5.5426
2/18/2013,.
2/19/2013,5.5357
2/20/2013,5.567
2/21/2013,5.6588
2/22/2013,5.6829
2/25/2013,5.6747
2/26/2013,5.7167
2/27/2013,5.7047
2/28/2013,5.7209
3/1/2013,5.7599
3/4/2013,5.7218
3/5/2013,5.7125
3/6/2013,5.7075
3/7/2013,5.673
3/8/2013,5.7242
3/11/2013,5.7268
3/12/2013,5.7136
3/13/2013,5.751
3/14/2013,5.8019
3/15/2013,5.7756
3/18/2013,5.7886
3/19/2013,5.8319
3/20/2013,5.8429
3/21/2013,5.8411
3/22/2013,5.8073
3/25/2013,5.8396
3/26/2013,5.8409
3/27/2013,5.8549
3/28/2013,5.8326
3/29/2013,5.8446
4/1/2013,5.8143
4/2/2013,5.8115
4/3/2013,5.8043
4/4/2013,5.811
4/5/2013,5.7204
4/8/2013,5.7435
4/9/2013,5.7083
4/10/2013,5.7452
4/11/2013,5.7029
4/12/2013,5.7188
4/15/2013,5.7281
4/16/2013,5.7377
4/17/2013,5.7934
